Comment,Designator,Footprint,LCSC
SSAJ110100,SA1,SW_SSAJ110100,C160863
1.2kR,"R1,R_S1",R_0805_2012Metric,C17379
100R,"R_Fault1,R_S2",R_0805_2012Metric,C17408
3.0kR,R2,R_0805_2012Metric,C17661
470R,R_Stat1,R_0805_2012Metric,C17710
2k,R_Prog1,R_1206_3216Metric,C17944
4.7uF,"C_Batt1,C_Vdd1",C_0603_1608Metric,C19666
10uF,C_Vm1,C_0603_1608Metric,C19702
LED_Red,D_Stat1,LED_0603_1608Metric,C2286
LED_Green,Fault1,LED_0805_2012Metric,C2297
2.2uF,C_Vint1,C_0603_1608Metric,C23630
SS-12D10L5,U1,SW-TH_SS-12D10L5,C319012
DRV8833PW,MD1,TSSOP-16_4.4x5mm_P0.65mm,C424093
MCP73831-2-OT,Charge1,SOT-23-5,C50506
Si2319CDS,Q1,SOT-23,C5337197
10nF,C_Vcp1,C_0603_1608Metric,C57112
Jumper_2_Open,JP_SA_C1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP_SA1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
TestPoint,TP_En1,TestPoint_Pad_D1.0mm,
Jumper_2_Open,JP_S1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP_SA_Bat1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
TestPoint,TP_Charge1,TestPoint_Pad_D1.0mm,
Jumper_2_Open,JP_SB_Bat1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP_SB1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
TestPoint,TP_ADC1,TestPoint_Pad_D1.0mm,
Jumper_2_Open,JP_S2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
TestPoint,TPM1A1,TestPoint_Pad_D1.0mm,
TestPoint,TPM2A1,TestPoint_Pad_D1.0mm,
TestPoint,TP1B1,TestPoint_Pad_D1.0mm,
TestPoint,TP2B1,TestPoint_Pad_D1.0mm,
