Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_Batt1,4.7uF,C_0603_1608Metric,112.5,-81.75,90.0,top
C_Vcp1,10nF,C_0603_1608Metric,117.5,-76.0,0.0,top
C_Vdd1,4.7uF,C_0603_1608Metric,98.832859,-81.75,90.0,top
C_Vint1,2.2uF,C_0603_1608Metric,111.0,-65.25,0.0,top
C_Vm1,10uF,C_0603_1608Metric,116.5,-65.0,90.0,top
Charge1,MCP73831-2-OT,SOT-23-5,108.284641,-82.75,90.0,top
D_Stat1,LED_Red,LED_0603_1608Metric,97.147141,-85.75,180.0,top
Fault1,LED_Green,LED_0805_2012Metric,110.5,-75.25,180.0,top
J2,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,115.0,-99.0,0.0,top
JP_BATT1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,116.25,-93.1,90.0,top
JP_S1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,107.75,-100.5,180.0,top
JP_S1_Bat1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,112.75,-92.9,-90.0,top
MD1,DRV8833PW,TSSOP-16_4.4x5mm_P0.65mm,114.6425,-71.275,0.0,top
PinCon1,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,92.21,-83.125,0.0,top
R1,1.2kR,R_0805_2012Metric,88.0,-81.10125,-90.0,top
R1k1,1k,R_0805_2012Metric,118.75,-80.4125,90.0,top
R2,3.0kR,R_0805_2012Metric,88.0,-86.43875,90.0,top
R3k1,3k,R_0805_2012Metric,88.0,-68.75,90.0,top
R5.1,5.1k,R_0805_2012Metric,88.0,-75.8375,90.0,top
R10k1,10k,R_0805_2012Metric,92.75,-98.25,180.0,top
R100,100R,R_0805_2012Metric,118.75,-84.25,90.0,top
R510,510,R_0805_2012Metric,118.75,-88.25,90.0,top
R_Fault1,100R,R_0805_2012Metric,104.5,-75.25,0.0,top
R_Prog1,2k,R_1206_3216Metric,102.832859,-79.75,180.0,top
R_Stat1,470R,R_0805_2012Metric,103.147141,-83.75,90.0,top
S1,SS-12D10L5,SW-TH_SS-12D10L5,104.029997,-94.970002,180.0,top
TP1B1,TestPoint,TestPoint_Pad_D1.0mm,111.5,-77.5,0.0,top
TP2B1,TestPoint,TestPoint_Pad_D1.0mm,98.75,-75.25,0.0,top
TP_ADC1,TestPoint,TestPoint_Pad_D1.0mm,88.0,-92.25,0.0,top
TP_Charge1,TestPoint,TestPoint_Pad_D1.0mm,112.147141,-85.0825,0.0,top
TP_En1,TestPoint,TestPoint_Pad_D1.0mm,109.0,-69.75,0.0,top
TPM1A1,TestPoint,TestPoint_Pad_D1.0mm,108.5,-66.5,0.0,top
TPM2A1,TestPoint,TestPoint_Pad_D1.0mm,98.75,-72.0,0.0,top
