Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100n,C_0402_1005Metric,77.0,-123.0,0.0,top
C4,100n,C_0402_1005Metric,94.02,-132.0,180.0,top
C6,100n,C_0402_1005Metric,103.5,-123.0,0.0,top
D1,TSAL4400,LED_D3.0mm_IRBlack,56.5,-115.5,90.0,top
D2,TSAL4400,LED_D3.0mm_IRBlack,91.735,-116.0,0.0,top
D3,TSAL4400,LED_D3.0mm_IRBlack,118.098439,-115.901561,-135.0,top
LED1,PD333-3B/H0/L2,LED_PD333_EVE,52.398025,-120.898025,-45.0,top
LED2,PD333-3B/H0/L2,LED_PD333_EVE,85.0,-117.103249,-90.0,top
LED3,PD333-3B/H0/L2,LED_PD333_EVE,121.101974,-120.898025,-135.0,top
Q1,2N3904,TO-92_Inline,57.0,-127.14,0.0,top
Q2,2N3904,TO-92_Inline,84.5,-124.0,0.0,top
Q3,2N3904,TO-92_Inline,115.23,-127.64,0.0,top
R1,1.8k,R_0603_1608Metric,53.649999,-133.5,0.0,top
R2,2.2k,R_0402_1005Metric,59.659998,-133.5,0.0,top
R3,10,R_0402_1005Metric,65.14,-133.5,-90.0,top
R5,75k,R_0603_1608Metric,67.649999,-122.5,-90.0,top
R6,2.2k,R_0402_1005Metric,82.49,-129.0,0.0,top
R7,1.8k,R_0603_1608Metric,87.175,-129.5,0.0,top
R8,10,R_0402_1005Metric,91.0,-128.5,180.0,top
R10,75k,R_0603_1608Metric,77.825,-132.0,0.0,top
R11,1.8k,R_0603_1608Metric,111.5,-133.5,0.0,top
R12,2.2k,R_0402_1005Metric,115.49,-133.5,0.0,top
R13,10,R_0402_1005Metric,120.5,-133.0,180.0,top
R15,75k,R_0603_1608Metric,105.0,-118.325,90.0,top
